document,method,path,status,mcp_family,capability,rule
app-connections/northflank/delete.mdx,DELETE,/api/v1/app-connections/northflank/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/northflank/get-by-id.mdx,GET,/api/v1/app-connections/northflank/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/northflank/get-by-name.mdx,GET,/api/v1/app-connections/northflank/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/northflank/list.mdx,GET,/api/v1/app-connections/northflank,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/northflank/update.mdx,PATCH,/api/v1/app-connections/northflank/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/oci/available.mdx,GET,/api/v1/app-connections/oci/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/oci/create.mdx,POST,/api/v1/app-connections/oci,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/oci/delete.mdx,DELETE,/api/v1/app-connections/oci/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/oci/get-by-id.mdx,GET,/api/v1/app-connections/oci/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/oci/get-by-name.mdx,GET,/api/v1/app-connections/oci/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/oci/list.mdx,GET,/api/v1/app-connections/oci,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/oci/update.mdx,PATCH,/api/v1/app-connections/oci/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/octopus-deploy/available.mdx,GET,/api/v1/app-connections/octopus-deploy/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/octopus-deploy/create.mdx,POST,/api/v1/app-connections/octopus-deploy,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/octopus-deploy/delete.mdx,DELETE,/api/v1/app-connections/octopus-deploy/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
